,model,base_fs,extended_fs,LR_stat,LR_p_value,LR_significant,DeLong_base_AUC,DeLong_extended_AUC,DeLong_p_value,DeLong_significant
4,RF,baseline,ef,8.367261145396249,0.0038204096408410715,True,0.693196405648267,0.7946084724005135,0.11407723711799456,False
5,RF,baseline,cr,0.43300366431249415,0.5105187645755191,False,0.693196405648267,0.7214377406931964,0.6430343617621126,False
6,RF,ef,ef+cr,3.1719561886078793,0.07491267140513613,False,0.7946084724005135,0.810012836970475,0.80452034097571,False
7,RF,cr,ef+cr,11.106213669691634,0.0008603896594854277,True,0.7214377406931964,0.810012836970475,0.19508051656607606,False
16,RF,ef+cr,ef+cr+na,0.0,1.0,False,0.810012836970475,0.8151476251604622,0.9408267466154374,False
17,RF,ef+cr,ef+cr+age2,0.0,1.0,False,0.810012836970475,0.8177150192554558,0.911460419481869,False
18,RF,ef+cr+na,ef+cr+na+age2,0.0,1.0,False,0.8151476251604622,0.8061617458279846,0.8967928927246824,False
19,RF,ef+cr+age2,ef+cr+na+age2,0.0,1.0,False,0.8177150192554558,0.8061617458279846,0.8671912033499594,False
