,model,feature_set,roc_auc_orig,roc_auc_cal,pr_auc_orig,pr_auc_cal,brier_orig,brier_cal,Δroc,Δpr,Δbrier
0,LogisticRegression,ef,0.6482670089858793,0.6482670089858793,0.4853993805942846,0.4853993805942846,0.24758771732542512,0.2055491863187763,0.0,0.0,0.04203853100664881
1,RandomForestClassifier,ef+cr+na,0.6906290115532734,0.6906290115532734,0.45940508457764256,0.45940508457764256,0.20895656428056633,0.20151196033841998,0.0,0.0,0.007444603942146355
2,XGBClassifier,ef,0.5468549422336328,0.5468549422336328,0.34367584674572366,0.34547162829317735,0.30579486189386645,0.216430212972051,0.0,0.0017957815474536898,0.08936464892181545
