,model,base_fs,extended_fs,LR_stat,LR_p_value,LR_significant,DeLong_base_AUC,DeLong_extended_AUC,DeLong_p_value,DeLong_significant
8,XGB,baseline,ef,16.714580535888672,4.344580956461286e-05,True,0.774069319640565,0.8741976893453145,0.10552408610605557,False
9,XGB,baseline,cr,1.2955245971679688,0.25503232847886814,False,0.774069319640565,0.7650834403080873,0.8849059535463049,False
10,XGB,ef,ef+cr,0.0,1.0,False,0.8741976893453145,0.8292682926829268,0.4664824046866569,False
11,XGB,cr,ef+cr,10.272457122802734,0.0013503085083078625,True,0.7650834403080873,0.8292682926829268,0.32277442033239234,False
20,XGB,ef+cr,ef+cr+na,0.0,1.0,False,0.8292682926829268,0.8382541720154043,0.8937521790516385,False
21,XGB,ef+cr,ef+cr+age2,0.14217758178710938,0.7061257268141643,False,0.8292682926829268,0.8356867779204108,0.9244420487034812,False
22,XGB,ef+cr+na,ef+cr+na+age2,3.6615982055664062,0.05568019846829919,False,0.8382541720154043,0.8485237483953787,0.8789966270499956,False
23,XGB,ef+cr+age2,ef+cr+na+age2,0.0,1.0,False,0.8356867779204108,0.8485237483953787,0.8474995371512799,False
